treatments ['Walnut', 'Almond', 'Oats', 'Barley', 'Broccoli', 'Avocado']
hmdb_list 75
Count mismatch MAR11100
Count mismatch MAR11101
Count mismatch MAR11102
Count mismatch MAR11103
Count mismatch MAR11104
Count mismatch MAR11105
Count mismatch MAR11106
Count mismatch MAR11107
Count mismatch MAR11108
Count mismatch MAR11109
Count mismatch MAR11110
Count mismatch MAR11111
Count mismatch MAR11112
Count mismatch MAR11113
Count mismatch MAR11114
Count mismatch MAR11115
Count mismatch MAR11116
Count mismatch MAR11117
Count mismatch MAR11118
Count mismatch MAR11119
Count mismatch MAR11120
Count mismatch MAR11121
Count mismatch MAR11122
Count mismatch MAR11123
Count mismatch MAR11124
Count mismatch MAR11125
Count mismatch MAR11126
Count mismatch MAR11127
Count mismatch MAR11128
Count mismatch MAR11129
Count mismatch MAR11130
Count mismatch MAR11131
Count mismatch MAR11132
Count mismatch MAR11133
Count mismatch MAR11134
Count mismatch MAR11135
Count mismatch MAR11136
Count mismatch MAR11137
Count mismatch MAR11138
Count mismatch MAR11139
Count mismatch MAR11140
Count mismatch MAR11141
Count mismatch MAR11142
Count mismatch MAR11143
Count mismatch MAR11144
Count mismatch MAR11145
Count mismatch MAR11146
Count mismatch MAR11147
Count mismatch MAR11148
Count mismatch MAR11149
Count mismatch MAR11150
Count mismatch MAR11151
Count mismatch MAR11152
Count mismatch MAR11153
Count mismatch MAR11154
Count mismatch MAR11155
Count mismatch MAR11156
Count mismatch MAR11157
Count mismatch MAR11158
Count mismatch MAR11159
Count mismatch MAR11160
Count mismatch MAR11161
Count mismatch MAR11162
Count mismatch MAR11163
Count mismatch MAR11164
Count mismatch MAR11165
Count mismatch MAR11166
Count mismatch MAR11167
Count mismatch MAR11168
Count mismatch MAR11169
Count mismatch MAR11170
Count mismatch MAR11171
Count mismatch MAR11172
Count mismatch MAR11173
Count mismatch MAR11174
Count mismatch MAR11175
Count mismatch MAR11176
Count mismatch MAR11177
Count mismatch MAR11178
Count mismatch MAR11179
Count mismatch MAR11180
Count mismatch MAR11181
Count mismatch MAR11182
Count mismatch MAR11183
Count mismatch MAR11184
Count mismatch MAR11185
Count mismatch MAR11186
Count mismatch MAR11187
Count mismatch MAR11188
Count mismatch MAR11189
Count mismatch MAR11190
Count mismatch MAR11191
Count mismatch MAR11192
Count mismatch MAR11193
Count mismatch MAR11194
Count mismatch MAR11195
Count mismatch MAR11196
Count mismatch MAR11197
Count mismatch MAR11198
Count mismatch MAR11199
Count mismatch MAR11200
Count mismatch MAR11201
Count mismatch MAR11202
Count mismatch MAR11203
Count mismatch MAR11204
Count mismatch MAR11205
Count mismatch MAR11206
Count mismatch MAR11207
Count mismatch MAR11208
Count mismatch MAR11209
Count mismatch MAR11210
Count mismatch MAR11211
Count mismatch MAR11212
Count mismatch MAR11213
Count mismatch MAR11214
Count mismatch MAR11215
Count mismatch MAR11216
Count mismatch MAR11217
Count mismatch MAR11218
Count mismatch MAR11219
Count mismatch MAR11220
Count mismatch MAR11221
Count mismatch MAR11222
Count mismatch MAR11413
Count mismatch MAR11467
Count mismatch MAR11502
Count mismatch MAR11509
Count mismatch MAR12014
Count mismatch MAR12742
Count mismatch MAR12751
Count mismatch MAR13004
Count mismatch MAR10033
Count mismatch MAR10034
No reaction mapped to HMDB0000646+
No reaction mapped to HMDB0000754-
No reaction mapped to HMDB0001138-
No reaction mapped to HMDB0001858+
No reaction mapped to HMDB0001893+
1618
*** Walnut NoWalnut ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 36
control_samples 18
treatment_samples 18
df (36, 1459)
*** Almond NoAlmond ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 28
control_samples 14
treatment_samples 14
df (28, 1451)
*** Oats NoOats ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 29
control_samples 14
treatment_samples 15
df (29, 1452)
*** Barley NoBarley ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 28
control_samples 14
treatment_samples 14
df (28, 1451)
*** Broccoli NoBroccoli ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 30
control_samples 15
treatment_samples 15
df (30, 1453)
*** Avocado NoAvocado ***
1273 react_nodes
150 met_nodes
195 sample_nodes
study_samples 44
control_samples 17
treatment_samples 27
df (44, 1467)
